movieId,title,genres,genre_set,vec,year,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"Set([""Comedy"", ""Children"", ""Fantasy"", ""Animation"", ""Adventure""])","[0.0671316459774971, 0.44908642768859863, 0.515964150428772, 0.027530264109373093, 0.25389906764030457, 0.08215153962373734, 0.08124342560768127, 0.17254121601581573, 0.02121226117014885, 0.27094343304634094, 0.028695691376924515, 0.35338354110717773, 0.16225625574588776, 0.34858906269073486, 1.088714838027954, 0.10164399445056915, 0.07863281667232513, 0.07123962044715881, 0.20133332908153534, 0.01744535006582737, 0.28020769357681274, 0.20746219158172607, 0.05306283384561539, 0.04869185388088226, 0.9898070693016052]",1995,8.3
2,Jumanji (1995),Adventure|Children|Fantasy,"Set([""Children"", ""Fantasy"", ""Adventure""])","[0.055291417986154556, 0.4357445538043976, 0.18359826505184174, 0.02771918661892414, 0.5089824199676514, 0.3396274745464325, 0.05873197689652443, 0.10899079591035843, 0.033214688301086426, 0.0740891844034195, 0.03217703849077225, 0.04751153290271759, 0.262971967458725, 0.0527520589530468, 0.7614306807518005, 0.17246654629707336, 0.1469523310661316, 0.2171405553817749, 0.11012370139360428, 0.01645403727889061, 0.4402722120285034, 0.02747271955013275, 0.026862768456339836, 0.030163198709487915, 0.8560755848884583]",1995,7.0
3,Grumpier Old Men (1995),Comedy|Romance,"Set([""Comedy"", ""Romance""])","[0.058841414749622345, 0.47460347414016724, 0.11878715455532074, 0.0, 0.5178687572479248, 0.22535201907157898, 0.10090063512325287, 0.04721113294363022, 0.025166688486933708, 0.08758103847503662, 0.03141570836305618, 0.10865902900695801, 0.2859850823879242, 0.16919559240341187, 0.7647597789764404, 0.5090824365615845, 0.009986278600990772, 0.14560315012931824, 0.0, 0.0, 0.5170990824699402, 0.01758592575788498, 0.025045238435268402, 0.008068875409662724, 0.6512672305107117]",1995,6.7
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Set([""Comedy"", ""Romance"", ""Drama""])","[0.034231990575790405, 0.4955090880393982, 0.20346780121326447, 0.19387425482273102, 0.638155996799469, 0.2855667769908905, 0.11880452930927277, 0.07064004987478256, 0.008069120347499847, 0.10431677848100662, 0.015462514944374561, 0.037798017263412476, 0.15349768102169037, 0.0, 0.5892447829246521, 0.32365429401397705, 0.10828845202922821, 0.5532100200653076, 0.2592583894729614, 0.04143461957573891, 0.1870943009853363, 0.28013357520103455, 0.03392266109585762, 0.009606358595192432, 0.4773419499397278]",1995,5.9
5,Father of the Bride Part II (1995),Comedy,"Set([""Comedy""])","[0.021206289529800415, 0.5036512017250061, 0.29932039976119995, 0.031857337802648544, 0.6364704966545105, 0.25014522671699524, 0.07647044211626053, 0.0, 0.02341652475297451, 0.0976320430636406, 0.014390946365892887, 0.0029317291919142008, 0.07776340842247009, 0.034875884652137756, 0.7747484445571899, 0.47772637009620667, 0.02402625046670437, 0.24477455019950867, 0.018593834713101387, 0.00863334909081459, 0.44141915440559387, 0.05342143774032593, 0.009375291876494884, 0.00485568679869175, 0.5880689024925232]",1995,6.0
6,Heat (1995),Action|Crime|Thriller,"Set([""Thriller"", ""Crime"", ""Action""])","[0.0554344542324543, 0.26648327708244324, 0.19637808203697205, 0.0, 0.2868843376636505, 0.05327744036912918, 0.5186418294906616, 0.12042894959449768, 0.00555769307538867, 0.2632790803909302, 0.03099444881081581, 0.5532513856887817, 0.5481597781181335, 0.42046982049942017, 0.4824831187725067, 0.2145240157842636, 0.0, 0.06564062833786011, 0.039885494858026505, 0.00504652364179492, 0.444757878780365, 0.4283562898635864, 0.14263367652893066, 0.02537265419960022, 1.0311318635940552]",1995,8.2
7,Sabrina (1995),Comedy|Romance,"Set([""Comedy"", ""Romance""])","[0.0, 0.3304980397224426, 0.4290105104446411, 0.0470816045999527, 0.7066329717636108, 0.1724739819765091, 0.22395899891853333, 0.004235138650983572, 0.032718319445848465, 0.1300729215145111, 0.02587828040122986, 0.0, 0.036977555602788925, 0.12305191159248352, 0.7158068418502808, 0.33988156914711, 0.005402299575507641, 0.3184201717376709, 0.08049016445875168, 0.026890091598033905, 0.1717255413532257, 0.07026399672031403, 0.02402924746274948, 0.018339715898036957, 0.9303421974182129]",1995,6.3
8,Tom and Huck (1995),Adventure|Children,"Set([""Children"", ""Adventure""])","[0.06572307646274567, 0.3956727385520935, 0.20344898104667664, 0.05363595485687256, 0.6149992346763611, 0.4661002457141876, 0.16936390101909637, 0.12825287878513336, 0.06345903873443604, 0.03330964967608452, 0.07382087409496307, 0.07599510997533798, 0.15966670215129852, 0.06661874055862427, 0.6806503534317017, 0.390044242143631, 0.1943780779838562, 0.3633080720901489, 0.14176148176193237, 0.03674684092402458, 0.3738877475261688, 0.04820345342159271, 0.05439196154475212, 0.04476170614361763, 0.5671967267990112]",1995,5.5
9,Sudden Death (1995),Action,"Set([""Action""])","[0.06127564609050751, 0.45030611753463745, 0.08784720301628113, 0.05495159700512886, 0.39930057525634766, 0.42857909202575684, 0.0, 0.05285590514540672, 0.026173556223511696, 0.06213916465640068, 0.02902093343436718, 0.02267840877175331, 0.27646979689598083, 0.043983105570077896, 0.21888627111911774, 0.3554157614707947, 0.1110314130783081, 0.21407891809940338, 0.0835803672671318, 0.02347099594771862, 0.6433199048042297, 0.013998192735016346, 0.0303837638348341, 0.03739657998085022, 0.903233528137207]",1995,5.8
10,GoldenEye (1995),Action|Adventure|Thriller,"Set([""Thriller"", ""Action"", ""Adventure""])","[0.04720732197165489, 0.09126085788011551, 0.2019527703523636, 0.011780221946537495, 0.27057740092277527, 0.24044272303581238, 0.2467108517885208, 0.08887865394353867, 0.033151883631944656, 0.2700843811035156, 0.03648955374956131, 0.24817679822444916, 0.2371433526277542, 0.23605526983737946, 0.600548267364502, 0.27691081166267395, 0.055166590958833694, 0.10532332956790924, 0.05204571411013603, 0.01592204160988331, 0.5438836812973022, 0.06652714312076569, 0.058157142251729965, 0.030882788822054863, 1.098848581314087]",1995,7.2
